
                                       GO
--------------------------------------------------------------------------------
| Number of logical CPUs used = 1
| Number of Iterations        = 100
| Size of the array           = 100000000
--------------------------------------------------------------------------------
| Times taken for each iteration (in seconds):

1.    14.941775
2.    15.028203
3.    15.241603
4.    15.333574
5.    15.187854
6.    15.146895
7.    15.032062
8.    14.946683
9.    15.142241
10.   14.995880
11.   15.014294
12.   14.908219
13.   14.990979
14.   15.075759
15.   14.943460
16.   15.056607
17.   15.301244
18.   14.986340
19.   15.059090
20.   14.963192
21.   14.948610
22.   15.136562
23.   14.971961
24.   14.968727
25.   14.880818
26.   15.010296
27.   15.000252
28.   14.997378
29.   15.145914
30.   14.926117
31.   15.244930
32.   15.006340
33.   15.015126
34.   15.033041
35.   14.950894
36.   15.131098
37.   14.952372
38.   15.020505
39.   14.989566
40.   14.917495
41.   14.981077
42.   15.007564
43.   14.956677
44.   15.151703
45.   14.968498
46.   15.057254
47.   14.980983
48.   15.045912
49.   15.034308
50.   15.093757
51.   15.252665
52.   14.922952
53.   15.138662
54.   14.932385
55.   15.022659
56.   14.993415
57.   14.894348
58.   15.108297
59.   14.886031
60.   14.993490
61.   14.955297
62.   14.920402
63.   14.888848
64.   15.008393
65.   14.932125
66.   15.041904
67.   14.910054
68.   15.023802
69.   15.381483
70.   15.260223
71.   15.206490
72.   15.002450
73.   15.193656
74.   15.108939
75.   15.394111
76.   14.946204
77.   14.934784
78.   15.041492
79.   14.980615
80.   15.115629
81.   14.955683
82.   14.921303
83.   14.957477
84.   14.960910
85.   15.013298
86.   14.933034
87.   14.995107
88.   14.893658
89.   15.057980
90.   15.284982
91.   14.918344
92.   15.088767
93.   15.062365
94.   15.069577
95.   15.193015
96.   14.971747
97.   15.008963
98.   15.019597
99.   15.038749
100.  15.025244

--------------------------------------------------------------------------------
| Minimum time: 14.880818 seconds
| Average time: 15.035833 seconds
| Maximum time: 15.394111 seconds
| Total time: 1503.583292 seconds
--------------------------------------------------------------------------------
