
                                       GO
--------------------------------------------------------------------------------
| Number of logical CPUs used = 8
| Number of Iterations        = 100
| Size of the array           = 100000000
--------------------------------------------------------------------------------
| Times taken for each iteration (in seconds):

1.    2.364817
2.    2.319602
3.    2.329720
4.    2.325969
5.    2.351958
6.    2.362028
7.    2.332802
8.    2.328657
9.    2.336017
10.   2.329172
11.   2.330051
12.   2.331236
13.   2.323031
14.   2.351238
15.   2.335001
16.   2.320272
17.   2.333853
18.   2.331347
19.   2.319678
20.   2.330340
21.   2.320878
22.   2.323630
23.   2.337147
24.   2.328047
25.   2.320398
26.   2.322137
27.   2.338135
28.   2.318680
29.   2.323453
30.   2.333996
31.   2.338432
32.   2.345472
33.   2.336145
34.   2.328203
35.   2.332909
36.   2.315214
37.   2.329073
38.   2.325189
39.   2.311861
40.   2.359025
41.   2.350501
42.   2.361530
43.   2.349049
44.   2.336295
45.   2.343758
46.   2.368281
47.   2.333038
48.   2.340477
49.   2.341090
50.   2.330769
51.   2.318807
52.   2.340378
53.   2.307459
54.   2.311382
55.   2.368339
56.   2.360805
57.   2.346187
58.   2.324284
59.   2.320108
60.   2.334666
61.   2.329446
62.   2.340022
63.   2.323606
64.   2.327673
65.   2.346053
66.   2.334989
67.   2.325306
68.   2.313879
69.   2.328478
70.   2.323320
71.   2.331055
72.   2.318337
73.   2.331392
74.   2.321951
75.   2.328782
76.   2.316607
77.   2.334268
78.   2.330907
79.   2.332170
80.   2.316538
81.   2.329333
82.   2.333495
83.   2.325326
84.   2.336198
85.   2.340426
86.   2.317135
87.   2.335767
88.   2.334223
89.   2.331387
90.   2.335990
91.   2.324257
92.   2.324193
93.   2.330440
94.   2.319291
95.   2.321194
96.   2.325137
97.   2.319197
98.   2.337329
99.   2.362610
100.  2.340384

--------------------------------------------------------------------------------
| Minimum time: 2.307459 seconds
| Average time: 2.332401 seconds
| Maximum time: 2.368339 seconds
| Total time: 233.240105 seconds
--------------------------------------------------------------------------------
