
                                       GO
--------------------------------------------------------------------------------
| Number of logical CPUs used = 1
| Number of Iterations        = 100
| Size of the array           = 100000000
--------------------------------------------------------------------------------
| Times taken for each iteration (in seconds):

1.    10.195244
2.    10.200356
3.    10.195312
4.    10.202627
5.    10.200136
6.    10.211468
7.    10.155126
8.    10.151313
9.    10.153385
10.   10.149800
11.   10.162511
12.   10.154701
13.   10.152807
14.   10.162860
15.   10.154639
16.   10.161353
17.   10.157292
18.   10.156022
19.   10.158854
20.   10.155722
21.   10.160946
22.   10.155572
23.   10.162047
24.   10.154411
25.   10.156356
26.   10.158384
27.   10.156336
28.   10.154470
29.   10.152981
30.   10.155662
31.   10.154646
32.   10.332711
33.   10.198382
34.   10.194682
35.   10.195591
36.   10.162613
37.   10.165742
38.   10.167671
39.   10.156537
40.   10.165256
41.   10.171662
42.   10.200077
43.   10.197191
44.   10.194970
45.   10.204611
46.   10.196789
47.   10.204546
48.   10.198100
49.   10.201352
50.   10.201907
51.   10.191551
52.   10.200603
53.   10.196299
54.   10.201902
55.   10.196431
56.   10.197047
57.   10.203436
58.   10.204771
59.   10.199708
60.   10.198715
61.   10.205212
62.   10.197474
63.   10.201803
64.   10.183811
65.   10.170052
66.   10.170004
67.   10.168807
68.   10.173890
69.   10.169150
70.   10.168809
71.   10.173312
72.   10.186219
73.   10.208872
74.   10.197861
75.   10.201609
76.   10.203027
77.   10.201916
78.   10.206866
79.   10.202881
80.   10.203326
81.   10.202143
82.   10.192629
83.   10.170768
84.   10.168870
85.   10.172458
86.   10.172697
87.   10.197858
88.   10.199521
89.   10.202607
90.   10.204166
91.   10.200510
92.   10.205240
93.   10.201981
94.   10.204948
95.   10.202862
96.   10.200691
97.   10.206403
98.   10.202599
99.   10.205290
100.  10.201515

--------------------------------------------------------------------------------
| Minimum time: 10.149800 seconds
| Average time: 10.185248 seconds
| Maximum time: 10.332711 seconds
| Total time: 1018.524848 seconds
--------------------------------------------------------------------------------
